DocumentID,Institution name,Institution code (UKPRN),Main panel,URL,UoAValue,UoAString,4*,3*,2*,1*,unclassified,WordCount,TextUsed,IncludedInTopicModel,ResearchRank,ReasonForRemoval,food-environmental-science,art-media-research,study-english-literature,physics-group-facility,design-environment-project,mathematics-group-mathematical,law-school-international,study-language-linguistics,environmental-nerc-geography,social-research-work,archaeology-project-anthropology,wale-welsh-cardiff,engineering-technology-system,research-department-student,biology-cell-science,philosophy-project-ethic,research-staff-support,university-research-international,research-staff-university,chemistry-material-epsrc,system-computer-science,psychology-neuroscience-cognitive,economics-economic-lse,management-business-school,scottish-scotland-edinburgh,health-research-care,sport-exercise-science,clinical-cancer-research,history-study-project,music-performance-theatre
10007794-30-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-30-.pdf,30, History,70,30,0,0,0,4319,,TRUE,23,,0.00166113,0,0,0,2.37E-04,0.00166113,0.022069293,0,0,0.026578073,0,0,0,0.011865211,0,0.001423825,0.408875178,0.04271476,0.075225439,0,0,0,2.37E-04,0,0.147365923,0,0,7.12E-04,0.259373517,0
10007794-35-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-35-.pdf,35," Music, Drama, Dance and Performing Arts",40,60,0,0,0,2774,,TRUE,23,,0,0.016739447,0,0,0,0,7.28E-04,0,0,3.64E-04,0,0,0,0.092066958,0,0,0.319505095,0,0.251819505,0,0,0,0,0,0.084061135,0,0,0,0.020014556,0.214701601
10007794-36-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-36-.pdf,36," Communication, Cultural and Media Studies, Library and Information Management",100,0,0,0,0,3470,,TRUE,23,,0,0.211065574,0,0,0,0,0,0,0,0.053278689,0,0,0,0.0014637,0,0,0.396662763,0.053864169,0.116803279,0,0,0,0.003805621,2.93E-04,0.093969555,0,0.004098361,0,0.016978923,0.047716628
10007794-31-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-31-.pdf,31, Classics,10,70,20,0,0,2812,,TRUE,23,,0,0,0.031002163,0,0,0,0,0,0,0.002523432,0,0,0,0.055515501,0,0.010093727,0.285868782,0,0.218096611,0,0,0,0,0,0.05371305,0,0,0,0.343186734,0
10007794-32-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-32-.pdf,32, Philosophy,0,50,50,0,0,2829,,TRUE,23,,0,0,0,0,0,0,0,0,3.58E-04,0,0,0,0,0.086287146,0,0.241675618,0.336913713,0.069101325,0.19226638,0,0,0,0,0,0.07339778,0,0,0,0,0
10007794-33-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-33-.pdf,33, Theology and Religious Studies,0,50,40,10,0,2930,,TRUE,23,,0,0,0.22511273,0,0,0,0,0.016649324,0,0.023586542,0,0,0,0.002081165,0,0,0.347901492,0.013527575,0.268817204,0,0,0,0,0,0.079084287,0,0,0,0.023239681,0
10007794-34-,University of Glasgow,10007794,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007794-34-.pdf,34," Art and Design_ History, Practice and Theory",80,20,0,0,0,3187,,TRUE,23,,0.001580278,0.237673831,0,0,0,0,0,0,0,0.002212389,0,0,0.002212389,0.020543616,0,0,0.316687737,0.047092288,0.111883692,0,0,0,0,0,0.144121365,6.32E-04,0,0,0.115360303,0
10007855-28-B,Swansea University,10007855,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007855-28-B.pdf,28, Modern Languages and Linguistics,0,40,60,0,0,2524,,TRUE,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0
10007855-28-A,Swansea University,10007855,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007855-28-A.pdf,28, Modern Languages and Linguistics,0,40,60,0,0,2269,,TRUE,24,,0,0.006294964,0.069694245,0,0,0,8.99E-04,0.227967626,0,0,0,0.111061151,0,0.116456835,0,0.014838129,0.278327338,0.087679856,0.085431655,0,0,0,0,0,0,0,0,0,0.001348921,0
10007855-30-,Swansea University,10007855,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007855-30-.pdf,30, History,40,60,0,0,0,2995,,TRUE,24,,0,0.0063737,0,0,0,0,0,0,0,0.0063737,0.001006374,0.132170413,0,0.081851728,0,0,0.296209326,0,0.192217377,0,0,0,0,0,0,0.002683663,0.007715532,0,0.273398189,0
